Gene,SHAP Value
gene_1858,0.006144773281898607
gene_17801,0.005197727498634534
gene_18746,0.004796537568250476
gene_1923,0.003936031400654941
gene_6876,0.003667912628685
gene_10731,0.0036138925295202836
gene_16061,0.0033839635160925847
gene_14068,0.003291990192627745
gene_17993,0.0032904526310383957
gene_18178,0.003213708817168952
gene_7964,0.003188352335413056
gene_15633,0.003031530435204524
gene_5407,0.0028941353454515983
gene_18135,0.0028530098645973036
gene_3737,0.002843435223978815
gene_775,0.002672293565408128
gene_15999,0.0026451040096220676
gene_203,0.0026145300068813266
gene_15897,0.0025580171623646453
gene_8003,0.00236912436872348
gene_11566,0.002330629617926181
gene_18,0.0023185587436050843
gene_17904,0.0023049630452223
gene_14092,0.0022964831624101185
gene_14114,0.002293728586840238
gene_6530,0.0022659652476073842
gene_12983,0.0022240172588030905
gene_219,0.002141764677174529
gene_6611,0.0021172788226077083
gene_17317,0.0021105332833290316
gene_11550,0.002110249874261851
gene_5577,0.002092575531938018
gene_706,0.002081911814595951
gene_5625,0.0020796006178265356
gene_1750,0.002076514162052445
gene_15896,0.0020615795076653156
gene_16170,0.0020395786955464076
gene_15899,0.0020197288443852667
gene_9177,0.002013613884723367
gene_6830,0.0020124841285778074
gene_223,0.001977468699255349
gene_17738,0.0019373183140607784
gene_13631,0.001928182654988565
gene_4422,0.0019185152371008585
gene_5657,0.0019092068301452987
gene_15895,0.001888668187374505
gene_6748,0.0018659201213248957
gene_2129,0.0018525200296911498
gene_9652,0.001849703129972153
gene_15589,0.0018236645170505224
gene_7896,0.001812600686193181
gene_8794,0.0018112937087643988
gene_8801,0.0017985896464392404
gene_16377,0.0017948500920438963
gene_380,0.0017723652128337577
gene_5578,0.001765230849395254
gene_4178,0.0017175388457383652
gene_3921,0.001661064066793149
gene_14553,0.0016326905910222893
gene_6984,0.0016315184960264324
gene_14798,0.0016257819021406588
gene_8005,0.0016096287427545125
gene_15301,0.0016089471399350897
gene_15894,0.0016072445790988976
gene_12013,0.0015973601028289853
gene_9173,0.0015715460492616129
gene_16372,0.0015554000988407836
gene_10353,0.0015341761917789145
gene_12847,0.00153254766081997
gene_6265,0.0015200278354008559
gene_1510,0.0015174212957548038
gene_5561,0.0014662839395064202
gene_9706,0.0014371454408750764
gene_19339,0.0014357530641751213
gene_10218,0.0014264665723679338
gene_15898,0.0014054304308373166
gene_1448,0.0013948727689088946
gene_16255,0.0013829853287749508
gene_5021,0.001367579974181046
gene_15893,0.001358821039283188
gene_16169,0.0013574350488664852
gene_2639,0.0013508476144255177
gene_18091,0.0013497713770537383
gene_13459,0.0013473239986480055
gene_14190,0.0013301336173970097
gene_12995,0.0013292445306394118
gene_221,0.001325401705572092
gene_9175,0.0012999059813051483
gene_742,0.0012826790786213617
gene_3219,0.0012763664366055626
gene_5597,0.0012745383567188192
gene_11124,0.0012672159731836967
gene_18810,0.00125004021119325
gene_8616,0.0012488989025365095
gene_5576,0.0012364675820697732
gene_19159,0.0012298756140354536
gene_19373,0.0012287748061882028
gene_12881,0.0012241749515292967
gene_4833,0.0012214473581608526
gene_7792,0.00121744897014539
